Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2014,4108304,Foz do Iguaçu - PR,"1,664","62,4 Mil",R$ 128 Milhões,"R$ 2,05 Mil","0,814","0,178"
2014,3552809,Taboão da Serra - SP,"2,63","61,8 Mil",R$ 134 Milhões,"R$ 2,16 Mil","0,779","0,062"
2014,4314100,Passo Fundo - RS,"1,639","61,5 Mil",R$ 130 Milhões,"R$ 2,11 Mil","0,782","0,186"
2014,4318705,São Leopoldo - RS,"2,782","60,5 Mil",R$ 138 Milhões,"R$ 2,28 Mil","0,796","0,042"
2014,3122306,Divinópolis - MG,"2,004","59,7 Mil","R$ 97,2 Milhões","R$ 1,63 Mil","0,719","0,159"
2014,3523909,Itu - SP,"2,618","59,1 Mil",R$ 133 Milhões,"R$ 2,25 Mil","0,762","0,057"
2014,2307650,Maracanaú - CE,"2,397","58,7 Mil","R$ 90,2 Milhões","R$ 1,54 Mil","0,805","0,089"
2014,2105302,Imperatriz - MA,"1,365","58,5 Mil","R$ 83,3 Milhões","R$ 1,43 Mil","0,792","0,205"
2014,3201308,Cariacica - ES,"1,759","58,3 Mil","R$ 96,9 Milhões","R$ 1,66 Mil","0,786","0,173"
2014,5107602,Rondonópolis - MT,"1,434","58,1 Mil",R$ 112 Milhões,"R$ 1,92 Mil","0,797","0,201"
2014,5218805,Rio Verde - GO,"1,439","58,1 Mil",R$ 111 Milhões,"R$ 1,91 Mil","0,826","0,182"
2014,4309209,Gravataí - RS,"2,945","57,7 Mil",R$ 133 Milhões,"R$ 2,3 Mil","0,832","0,03"
2014,3502804,Araçatuba - SP,"1,818","57,1 Mil",R$ 111 Milhões,"R$ 1,94 Mil","0,765","0,172"
2014,4315602,Rio Grande - RS,"1,92","56,9 Mil",R$ 158 Milhões,"R$ 2,78 Mil","0,897","0,113"
2014,3305109,São João de Meriti - RJ,"1,724","56,8 Mil","R$ 82,8 Milhões","R$ 1,46 Mil","0,827","0,152"
2014,3167202,Sete Lagoas - MG,"1,8","56,1 Mil","R$ 93,5 Milhões","R$ 1,67 Mil","0,774","0,168"
2014,3552403,Sumaré - SP,"3,055","54,8 Mil",R$ 178 Milhões,"R$ 3,26 Mil","0,845","0,031"
2014,3552502,Suzano - SP,"2,377","54,4 Mil",R$ 128 Milhões,"R$ 2,35 Mil","0,806","0,087"
2014,3518701,Guarujá - SP,"1,549","52,6 Mil",R$ 127 Milhões,"R$ 2,43 Mil","0,887","0,135"
2014,3303401,Nova Friburgo - RJ,"1,555","52,5 Mil","R$ 76,3 Milhões","R$ 1,45 Mil","0,805","0,184"
2014,3201209,Cachoeiro de Itapemirim - ES,"1,616","51,3 Mil",R$ 81 Milhões,"R$ 1,58 Mil","0,802","0,172"
2014,4202909,Brusque - SC,"2,42","50,8 Mil",R$ 101 Milhões,"R$ 1,98 Mil","0,788","0,089"
2014,2312908,Sobral - CE,"1,234","50,7 Mil","R$ 72,9 Milhões","R$ 1,44 Mil","0,892","0,155"
2014,3151800,Poços de Caldas - MG,"1,755","50,4 Mil","R$ 90,4 Milhões","R$ 1,79 Mil","0,778","0,172"
2014,3152501,Pouso Alegre - MG,"2,019","49,7 Mil","R$ 98,2 Milhões","R$ 1,97 Mil","0,815","0,124"
2014,3524402,Jacareí - SP,"2,531","48,5 Mil",R$ 117 Milhões,"R$ 2,42 Mil","0,813","0,073"
2014,3519071,Hortolândia - SP,"3,322","48,4 Mil",R$ 167 Milhões,"R$ 3,45 Mil","0,889","0,029"
2014,5108402,Várzea Grande - MT,"1,816","48,4 Mil","R$ 88,3 Milhões","R$ 1,83 Mil","0,78","0,168"
2014,3545803,Santa Bárbara D'oeste - SP,"2,691","48,3 Mil",R$ 104 Milhões,"R$ 2,15 Mil","0,773","0,051"
2014,3301900,Itaboraí - RJ,"2,045","48,3 Mil",R$ 112 Milhões,"R$ 2,33 Mil","0,921","0,091"
2014,1504208,Marabá - PA,"1,511","48,1 Mil","R$ 91,5 Milhões","R$ 1,9 Mil","0,843","0,162"
2014,2307304,Juazeiro do Norte - CE,"1,623",48 Mil,"R$ 65,3 Milhões","R$ 1,36 Mil","0,831","0,162"
2014,3203205,Linhares - ES,"1,302","47,8 Mil","R$ 80,5 Milhões","R$ 1,68 Mil","0,823","0,198"
2014,1505536,Parauapebas - PA,"1,989","47,8 Mil",R$ 126 Milhões,"R$ 2,64 Mil","0,905","0,095"
2014,4127700,Toledo - PR,"1,755","47,4 Mil","R$ 90,5 Milhões","R$ 1,91 Mil","0,806","0,155"
2014,1500602,Altamira - PA,"1,565","47,2 Mil",R$ 145 Milhões,"R$ 3,08 Mil","0,955","0,095"
2014,4202008,Balneário Camboriú - SC,"1,782","46,7 Mil","R$ 86,2 Milhões","R$ 1,85 Mil","0,806","0,162"
2014,3300100,Angra Dos Reis - RJ,"2,216","46,5 Mil",R$ 145 Milhões,"R$ 3,11 Mil","0,936","0,085"
2014,3144805,Nova Lima - MG,"2,87","46,4 Mil",R$ 141 Milhões,"R$ 3,05 Mil","0,874","0,053"
2014,4302105,Bento Gonçalves - RS,"2,471","46,1 Mil",R$ 113 Milhões,"R$ 2,46 Mil","0,809","0,075"
2014,3541000,Praia Grande - SP,"1,461",46 Mil,"R$ 88,7 Milhões","R$ 1,93 Mil","0,87","0,155"
2014,4119152,Pinhais - PR,"2,863",46 Mil,"R$ 93,5 Milhões","R$ 2,03 Mil","0,715","0,03"
2014,3551702,Sertãozinho - SP,"2,529","45,8 Mil",R$ 113 Milhões,"R$ 2,46 Mil","0,838","0,07"
2014,3515004,Embu - SP,"2,491","45,7 Mil","R$ 98,8 Milhões","R$ 2,16 Mil","0,827","0,077"
2014,2607208,Ipojuca - PE,"2,413","45,6 Mil",R$ 141 Milhões,"R$ 3,09 Mil","0,93","0,078"
2014,3523107,Itaquaquecetuba - SP,"3,166","45,3 Mil","R$ 88,2 Milhões","R$ 1,95 Mil","0,749","-0,012"
2014,2602902,Cabo de Santo Agostinho - PE,"2,517","44,1 Mil","R$ 91,3 Milhões","R$ 2,07 Mil","0,859","0,072"
2014,3509205,Cajamar - SP,"2,884","43,7 Mil",R$ 111 Milhões,"R$ 2,54 Mil","0,837","0,044"
2014,4209300,Lages - SC,"1,77","43,6 Mil","R$ 74,1 Milhões","R$ 1,7 Mil","0,751","0,184"
2014,1506807,Santarém - PA,"1,163","43,4 Mil","R$ 68,1 Milhões","R$ 1,57 Mil","0,833","0,205"
2014,3507605,Bragança Paulista - SP,"1,963","43,2 Mil","R$ 84,4 Milhões","R$ 1,95 Mil","0,756","0,149"
2014,3556206,Valinhos - SP,"2,786","43,2 Mil",R$ 114 Milhões,"R$ 2,64 Mil","0,739","0,041"
2014,2303709,Caucaia - CE,"1,703","42,8 Mil",R$ 67 Milhões,"R$ 1,57 Mil","0,844","0,139"
2014,4101804,Araucária - PR,"3,067","42,7 Mil",R$ 130 Milhões,"R$ 3,05 Mil","0,84","0,03"
2014,3300704,Cabo Frio - RJ,"1,426","42,6 Mil","R$ 69,6 Milhões","R$ 1,63 Mil","0,856","0,172"
2014,3525300,Jaú - SP,"1,832","42,5 Mil","R$ 74,2 Milhões","R$ 1,75 Mil","0,808","0,145"
2014,4303103,Cachoeirinha - RS,"2,833","42,4 Mil","R$ 82,8 Milhões","R$ 1,95 Mil","0,764","0,037"
2014,4109401,Guarapuava - PR,"1,419","42,2 Mil","R$ 82,7 Milhões","R$ 1,96 Mil","0,795","0,205"
