ano,popul,codigo_ibge
2004,12915,110050
2005,12819,110050
2006,12916,110050
2007,9648,110050
2008,9966,110050
2009,9720,110050
2010,10240,110050
2011,10084,110050
2012,9933,110050
2013,10515,110050
2014,10393,110050
2015,10276,110050
2016,10161,110050
2017,10051,110050
2018,8751,110050
2019,8538,110050
2020,8329,110050
2021,8125,110050
2022,7653,110050
1992,5589,110060
1993,5873,110060
1994,6157,110060
1995,6436,110060
1996,5114,110060
1997,5077,110060
1998,5043,110060
1999,5011,110060
2000,5372,110060
2001,5355,110060
2002,5398,110060
2003,5411,110060
2004,5464,110060
2005,5450,110060
2006,5464,110060
2007,5553,110060
2008,5707,110060
2009,5736,110060
2010,5736,110060
2011,5764,110060
2012,5791,110060
2013,6268,110060
2014,6318,110060
2015,6367,110060
2016,6414,110060
2017,6460,110060
2018,6190,110060
2019,6230,110060
2020,6269,110060
2021,6307,110060
2022,4157,110060
1992,4577,110070
1993,4773,110070
1994,4953,110070
1995,5130,110070
1996,15434,110070
1997,7107,110070
1998,7643,110070
1999,8244,110070
2000,11463,110070
2001,12633,110070
2002,13500,110070
2003,14446,110070
2004,18606,110070
2005,17529,110070
2006,18619,110070
2007,12455,110070
2008,12790,110070
2009,12915,110070
2010,12665,110070
2011,12757,110070
2012,12847,110070
2013,13939,110070
2014,14081,110070
2015,14220,110070
2016,14354,110070
2017,14484,110070
2018,14009,110070
2019,14139,110070
2020,14266,110070
2021,14391,110070
2022,8840,110070
1992,7711,110080
1993,8041,110080
1994,8345,110080
1995,8642,110080
1996,10636,110080
1997,11575,110080
1998,12462,110080
1999,13268,110080
2000,13107,110080
2001,13816,110080
2002,14314,110080
2003,14874,110080
2004,17338,110080
2005,16700,110080
2006,17346,110080
2007,16736,110080
2008,17147,110080
2009,17547,110080
2010,19779,110080
2011,20291,110080
2012,20787,110080
2013,22973,110080
2014,23573,110080
2015,24155,110080
2016,24719,110080
2017,25266,110080
2018,25983,110080
2019,26693,110080
2020,27388,110080
2021,28068,110080
2022,22564,110080
1992,4647,110090
1993,4869,110090
1994,5094,110090
1995,5314,110090
1996,4239,110090
1997,4209,110090
1998,4180,110090
1999,4154,110090
2000,4212,110090
2001,4189,110090
2002,4178,110090
2003,4162,110090
2004,4092,110090
2005,4110,110090
2006,4092,110090
2007,3624,110090
2008,3737,110090
2009,3685,110090
2010,3575,110090
2011,3526,110090
2012,3479,110090
2013,3689,110090
2014,3653,110090
2015,3617,110090
2016,3583,110090
2017,3550,110090
2018,3119,110090
2019,3052,110090
2020,2987,110090
2021,2923,110090
2022,3269,110090
1996,,110092
1997,4175,110092
1998,4216,110092
1999,4255,110092
2000,5521,110092
2001,5701,110092
2002,5842,110092
2003,5991,110092
2004,6647,110092
2005,6477,110092
2006,6649,110092
2007,7456,110092
2008,7633,110092
2009,7843,110092
2010,8301,110092
2011,8514,110092
2012,8721,110092
2013,9636,110092
2014,9887,110092
2015,10129,110092
2016,10364,110092
2017,10593,110092
2018,10886,110092
2019,11182,110092
2020,11472,110092
2021,11755,110092
2022,9351,110092
1996,,110094
1997,4096,110094
1998,4147,110094
1999,4308,110094
2000,6536,110094
2001,6976,110094
2002,7305,110094
2003,7662,110094
2004,9233,110094
2005,8827,110094
2006,9238,110094
2007,13857,110094
2008,14122,110094
2009,14889,110094
2010,15854,110094
2011,16569,110094
2012,17262,110094
2013,19410,110094
2014,20204,110094
2015,20974,110094
2016,21720,110094
2017,22443,110094
2018,24226,110094
2019,25215,110094
2020,26183,110094
2021,27131,110094
2022,14338,110094
1992,6981,110100
1993,7270,110100
1994,7539,110100
1995,7802,110100
1996,9770,110100
1997,10607,110100
1998,11346,110100
1999,12042,110100
2000,13961,110100
2001,14497,110100
2002,15106,110100
2003,15785,110100
2004,18777,110100
2005,18002,110100
2006,18786,110100
2007,11432,110100
2008,11793,110100
2009,11593,110100
2010,10512,110100
2011,10272,110100
2012,10040,110100
2013,10534,110100
2014,10327,110100
2015,10127,110100
2016,9933,110100
2017,9745,110100
2018,8095,110100
2019,7767,110100
2020,7445,110100
2021,7130,110100
2022,8012,110100
1992,4755,110110
1993,4966,110110
1994,5161,110110
1995,5357,110110
1996,5292,110110
1997,5220,110110
1998,5481,110110
1999,5694,110110
2000,6822,110110
2001,7127,110110
2002,7356,110110
2003,7604,110110
2004,8695,110110
2005,8413,110110
2006,8699,110110
2007,7905,110110
2008,8110,110110
2009,8235,110110
2010,8566,110110
2011,8700,110110
2012,8830,110110
2013,9661,110110
2014,9831,110110
2015,9995,110110
2016,10155,110110
2017,10310,110110
2018,10272,110110
2019,10458,110110
2020,10641,110110
2021,10819,110110
2022,9465,110110
1992,9592,110120
1993,9887,110120
1994,12846,110120
1995,13256,110120
1996,10673,110120
1997,10446,110120
1998,10230,110120
1999,10035,110120
2000,11610,110120
2001,11321,110120
2002,11308,110120
2003,11292,110120
2004,11223,110120
2005,11241,110120
2006,11223,110120
2007,10343,110120
2008,10653,110120
2009,10572,110120
2010,10352,110120
2011,10276,110120
2012,10203,110120
2013,10899,110120
2014,10860,110120
2015,10823,110120
2016,10786,110120
2017,10751,110120
2018,9762,110120
2019,9660,110120
2020,9559,110120
2021,9461,110120
2022,6440,110120
1992,12403,110130
1993,12848,110130
1994,13323,110130
1995,13787,110130
1996,12635,110130
1997,13157,110130
1998,13651,110130
1999,14100,110130
2000,13154,110130
2001,13306,110130
2002,13438,110130
2003,13570,110130
2004,14150,110130
2005,14000,110130
2006,14152,110130
2007,12086,110130
2008,12446,110130
2009,12363,110130
2010,11878,110130
2011,11780,110130
2012,11686,110130
2013,12469,110130
2014,12414,110130
2015,12360,110130
2016,12308,110130
2017,12258,110130
2018,11080,110130
2019,10947,110130
2020,10818,110130
2021,10691,110130
2022,9200,110130
1992,8161,110140
1993,6383,110140
1994,6693,110140
1995,6995,110140
1996,8706,110140
1997,9452,110140
1998,11555,110140
1999,12213,110140
2000,12627,110140
2001,13217,110140
2002,13838,110140
2003,14400,110140
2004,16874,110140
2005,16233,110140
2006,16881,110140
2007,12357,110140
2008,12710,110140
2009,12708,110140
2010,14091,110140
2011,14203,110140
2012,14313,110140
2013,15541,110140
2014,15710,110140
2015,15873,110140
2016,16032,110140
2017,16186,110140
2018,15695,110140
2019,15852,110140
2020,16007,110140
2021,16158,110140
2022,11966,110140
1996,,110143
1997,6403,110143
1998,6392,110143
1999,6381,110143
2000,8233,110143
2001,8438,110143
2002,8601,110143
2003,8772,110143
2004,9524,110143
2005,9329,110143
2006,9526,110143
2007,7750,110143
2008,7978,110143
2009,7944,110143
2010,7493,110143
2011,7436,110143
2012,7382,110143
2013,7883,110143
2014,7853,110143
2015,7824,110143
2016,7796,110143
2017,7769,110143
2018,7047,110143
2019,6970,110143
2020,6895,110143
2021,6822,110143
2022,6194,110143
1996,,110145
1997,4136,110145
1998,4129,110145
1999,4122,110145
2000,3622,110145
2001,3545,110145
2002,3503,110145
2003,3448,110145
2004,3205,110145
2005,3268,110145
2006,3204,110145
2007,4583,110145
2008,4696,110145
2009,4802,110145
2010,4810,110145
2011,4901,110145
2012,4990,110145
2013,5477,110145
2014,5589,110145
2015,5697,110145
2016,5802,110145
2017,5904,110145
2018,5947,110145
2019,6074,110145
2020,6198,110145
2021,6319,110145
2022,3953,110145
1996,,110146
1997,2342,110146
1998,2334,110146
1999,2326,110146
2000,2527,110146
2001,2544,110146
2002,2557,110146
2003,2571,110146
2004,2633,110146
2005,2617,110146
2006,2633,110146
2007,2358,110146
2008,2427,110146
2009,2415,110146
2010,2315,110146
2011,2299,110146
2012,2283,110146
2013,2440,110146
2014,2432,110146
2015,2424,110146
2016,2417,110146
2017,2410,110146
2018,2191,110146
2019,2169,110146
2020,2148,110146
2021,2127,110146
2022,2180,110146
1996,,110147
1997,4149,110147
1998,4142,110147
1999,4135,110147
2000,4311,110147
2001,4325,110147
2002,4334,110147
2003,4345,110147
2004,4393,110147
2005,4381,110147
2006,4393,110147
2007,3704,110147
2008,3819,110147
2009,3765,110147
2010,3524,110147
2011,3464,110147
2012,3406,110147
2013,3597,110147
2014,3548,110147
2015,3501,110147
2016,3456,110147
2017,3411,110147
2018,2939,110147
2019,2856,110147
2020,2776,110147
2021,2697,110147
2022,3071,110147
1996,,110148
1997,6690,110148
1998,6679,110148
1999,6668,110148
2000,7056,110148
2001,7088,110148
2002,7116,110148
2003,7143,110148
2004,7266,110148
2005,7234,110148
2006,7266,110148
2007,6286,110148
2008,6477,110148
2009,6412,110148
